0.000000000000000000e+00 9.899999999999999911e-01 1.100000000000000089e+00
1.000000000000000021e-02 9.912036612888460718e-01 1.110946136270869022e+00
2.000000000000000042e-02 9.922026952217594120e-01 1.121883078499098962e+00
2.999999999999999889e-02 9.930089702093027881e-01 1.132803851293960662e+00
4.000000000000000083e-02 9.936489491428506238e-01 1.143701490872720994e+00
5.000000000000000278e-02 9.941547970580776328e-01 1.154569049456909857e+00
5.999999999999999778e-02 9.945577621838336269e-01 1.165399599657605201e+00
7.000000000000000666e-02 9.948844357425854490e-01 1.176186238846957055e+00
8.000000000000000167e-02 9.951558828153662661e-01 1.186922093513198107e+00
8.999999999999999667e-02 9.953877039232963408e-01 1.197600323596391680e+00
1.000000000000000056e-01 9.955911221532012245e-01 1.208214126802183541e+00
1.100000000000000006e-01 9.957739428852306895e-01 1.218756742890832800e+00
1.199999999999999956e-01 9.959415212698232711e-01 1.229221457938822759e+00
1.300000000000000044e-01 9.960974720677751026e-01 1.239601608570362723e+00
1.400000000000000133e-01 9.962442287915340700e-01 1.249890586156112038e+00
1.499999999999999944e-01 9.963834315941237918e-01 1.260081840976486456e+00
1.600000000000000033e-01 9.965161843342548176e-01 1.270168886346915826e+00
1.700000000000000122e-01 9.966432612192301921e-01 1.280145302702462295e+00
1.799999999999999933e-01 9.967652063599052870e-01 1.290004741639222852e+00
1.900000000000000022e-01 9.968824185994208387e-01 1.299740929909975362e+00
2.000000000000000111e-01 9.969952081076944861e-01 1.309347673371545229e+00
2.099999999999999922e-01 9.971038117271188161e-01 1.318818860881423527e+00
2.200000000000000011e-01 9.972084261233733482e-01 1.328148468141167715e+00
2.300000000000000100e-01 9.973092234774015852e-01 1.337330561484183500e+00
2.399999999999999911e-01 9.974063528359058406e-01 1.346359301605495329e+00
2.500000000000000000e-01 9.974999500159092980e-01 1.355228947231166492e+00
2.600000000000000089e-01 9.975901219538888531e-01 1.363933858725063786e+00
2.700000000000000178e-01 9.976769832144189998e-01 1.372468501630695004e+00
